"","customerID","tenure","MonthlyCharges","TotalCharges","Churn","Gender_Female","SeniorCitizen_0","Partner_Yes","Dependents_No","PhoneService_No","MultipleLines_No","InternetService_DSL","InternetService_Fiberoptic","OnlineSecurity_No","Online_Backup_Yes","DeviceProtection_No","TechSupport_No","tv_No","Movies_No","Contract_Monthtomonth","Contract_Oneyear","PaperLessBilling_Yes","PaymentMethod_Electroniccheck","PaymentMethod_Mailedcheck","PaymentMethod_Banktransfer_automatic"
"5","9237-HQITU",2,70.7,151.65,"Yes",1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"8","6713-OKOMC",10,29.75,301.9,"No",1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0
"20","4183-MYFRB",21,90.05,1862.9,"No",1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0
"21","8779-QRDMV",1,39.65,39.65,"Yes",0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0
"26","6865-JZNKO",30,55.3,1530.6,"No",1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1
"39","5380-WJKOV",34,106.35,3549.25,"Yes",0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0
"41","8865-TNMNX",10,49.55,475.7,"No",0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0
"43","9867-JCZSP",17,20.75,418.25,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"44","4671-VJLCL",63,79.85,4861.45,"No",1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
"45","4080-IIARD",13,76.2,981.45,"No",1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0
"53","6575-SUVOI",25,69.5,1752.65,"No",1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0
"56","1658-BYGOY",18,95.45,1752.55,"Yes",0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
"68","3410-YOQBQ",31,79.2,2497.2,"No",1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0
"69","3170-NMYVV",50,20.15,930.9,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"74","8028-PNXHQ",62,24.25,1424.6,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"87","4808-YNLEU",35,62.15,2215.45,"No",1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1
"89","2796-NNUFI",46,19.95,927.1,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"91","4767-HZZHQ",30,82.05,2570.2,"No",0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1
"92","2424-WVHPL",1,74.7,74.7,"No",0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0
"93","7233-PAHHL",66,84,5714.25,"No",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"101","6380-ARCEH",1,20.2,20.2,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"104","5386-THSLQ",66,45.55,3027.25,"No",1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1
"116","3071-VBYPO",3,89.85,248.4,"No",0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0
"117","9560-BBZXK",36,31.05,1126.35,"No",1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
"122","2928-HLDBA",6,20.7,112.75,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"135","2372-HWUHI",2,44.35,81.25,"Yes",0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"137","7850-VWJUU",23,75,1778.5,"No",1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1
"139","6217-KDYWC",57,19.6,1170.55,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"140","0390-DCFDQ",1,70.45,70.45,"Yes",1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0
"141","3146-MSEGF",72,88.05,6425.65,"No",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"149","6440-DKQGE",30,64.5,1929.95,"No",0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0
"152","3874-EQOEP",7,95,655.5,"Yes",0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0
"164","4648-YPBTM",53,73.9,3958.25,"No",0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1
"165","2907-ILJBN",11,20.6,233.9,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"170","1159-WFSGR",16,20.4,321.4,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"183","9367-WXLCH",8,84.5,662.65,"Yes",0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1
"185","1918-ZBFQJ",13,79.25,1111.65,"Yes",1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0
"187","4827-USJHP",20,51.8,1023.85,"No",0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0
"188","8167-GJLRN",3,30.4,82.15,"No",0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"189","0956-SYCWG",13,19.65,244.8,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"197","9178-JHUVJ",24,24.1,587.4,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"200","3645-DEYGF",1,20.75,20.75,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"212","4195-NZGTA",1,25.25,25.25,"No",1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"213","7157-SMCFK",61,19.75,1124.2,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"218","0230-WEQUW",66,56.6,3789.2,"No",0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
"231","2651-ZCBXV",54,108,5760.65,"No",0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
"233","8937-RDTHP",1,84.6,84.6,"Yes",0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0
"235","1984-GPTEH",29,25.15,702,"No",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"236","1251-KRREG",2,54.4,114.1,"Yes",0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0
"237","0621-JFHOL",10,29.6,299.05,"No",1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0
"245","4522-AKYLR",13,54.8,731.3,"No",1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0
"248","9947-OTFQU",15,74.4,1074.3,"Yes",0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0
"260","5046-NUHWD",29,45,1228.65,"No",1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0
"261","7273-TEFQD",3,41.15,132.2,"Yes",0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0
"266","0123-CRBRT",61,88.1,5526.75,"No",1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"279","8645-KWHJO",14,55,771.95,"No",0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
"281","0314-TKOSI",6,55.15,322.9,"No",1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0
"283","2080-SRCDE",1,25.4,25.4,"No",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"284","9577-WJVCQ",68,54.45,3687.75,"No",1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0
"285","9512-UIBFX",18,95.15,1779.95,"Yes",0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0
"293","2294-SALNE",23,86.8,1940.8,"No",0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0
"296","8203-XJZRC",1,20.25,20.25,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"308","4115-BNPJY",29,75.55,2054.4,"No",0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"309","3167-SNQPL",38,101.15,3741.85,"No",0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0
"314","2799-ARNLO",5,69.35,341.6,"No",1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"327","5701-YVSVF",11,82.9,880.05,"No",1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0
"329","5697-GOMBF",28,35.9,973.65,"No",1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0
