"","naive_prediction"
"1","Yes"
"2","No"
"3","Yes"
"4","Yes"
"5","No"
"6","Yes"
"7","No"
"8","No"
"9","No"
"10","No"
"11","Yes"
"12","Yes"
"13","No"
"14","No"
"15","No"
"16","No"
"17","No"
"18","No"
"19","Yes"
"20","No"
"21","No"
"22","No"
"23","Yes"
"24","No"
"25","No"
"26","Yes"
"27","Yes"
"28","No"
"29","Yes"
"30","No"
"31","No"
"32","Yes"
"33","No"
"34","No"
"35","No"
"36","Yes"
"37","Yes"
"38","Yes"
"39","Yes"
"40","No"
"41","No"
"42","No"
"43","Yes"
"44","No"
"45","No"
"46","No"
"47","Yes"
"48","No"
"49","Yes"
"50","No"
"51","Yes"
"52","Yes"
"53","Yes"
"54","Yes"
"55","No"
"56","Yes"
"57","No"
"58","No"
"59","No"
"60","No"
"61","No"
"62","No"
"63","No"
"64","Yes"
"65","Yes"
"66","Yes"
"67","Yes"
"68","No"
"69","No"
"70","No"
"71","No"
"72","No"
"73","Yes"
"74","Yes"
"75","No"
"76","Yes"
"77","Yes"
"78","No"
"79","No"
"80","No"
"81","Yes"
"82","No"
"83","No"
"84","No"
"85","No"
"86","No"
"87","No"
"88","No"
"89","Yes"
"90","Yes"
"91","No"
"92","No"
"93","No"
"94","No"
"95","No"
"96","No"
"97","No"
"98","Yes"
"99","Yes"
"100","Yes"
"101","Yes"
"102","No"
"103","Yes"
"104","No"
"105","Yes"
"106","Yes"
"107","No"
"108","No"
"109","Yes"
"110","Yes"
"111","Yes"
"112","Yes"
"113","No"
"114","No"
"115","No"
"116","No"
"117","Yes"
"118","No"
"119","No"
"120","No"
"121","No"
"122","No"
"123","No"
"124","No"
"125","No"
"126","No"
"127","Yes"
"128","No"
"129","Yes"
"130","Yes"
"131","No"
"132","No"
"133","No"
"134","No"
"135","Yes"
"136","No"
"137","No"
"138","Yes"
"139","No"
"140","Yes"
"141","No"
"142","Yes"
"143","No"
"144","No"
"145","Yes"
"146","No"
"147","No"
"148","No"
"149","Yes"
"150","No"
"151","Yes"
"152","Yes"
"153","No"
"154","No"
"155","No"
"156","Yes"
"157","No"
"158","Yes"
"159","No"
"160","No"
"161","No"
"162","No"
"163","No"
"164","No"
"165","No"
"166","No"
"167","Yes"
"168","No"
"169","No"
"170","No"
"171","No"
"172","Yes"
"173","Yes"
"174","No"
"175","No"
"176","No"
"177","No"
"178","No"
"179","No"
"180","No"
"181","No"
"182","No"
"183","No"
"184","No"
"185","No"
"186","Yes"
"187","No"
"188","Yes"
"189","No"
"190","No"
"191","Yes"
"192","No"
"193","No"
"194","No"
"195","Yes"
"196","Yes"
"197","No"
"198","Yes"
"199","Yes"
"200","No"
"201","Yes"
"202","No"
"203","No"
"204","No"
"205","Yes"
"206","No"
"207","Yes"
"208","Yes"
"209","No"
"210","No"
"211","Yes"
"212","No"
"213","No"
"214","Yes"
"215","No"
"216","No"
"217","No"
"218","Yes"
"219","No"
"220","No"
"221","No"
"222","No"
"223","No"
"224","No"
"225","Yes"
"226","No"
"227","No"
"228","No"
"229","No"
"230","No"
"231","No"
"232","No"
"233","No"
"234","Yes"
"235","Yes"
"236","Yes"
"237","Yes"
"238","No"
"239","Yes"
"240","Yes"
"241","No"
"242","Yes"
"243","No"
"244","Yes"
"245","No"
"246","No"
"247","Yes"
"248","Yes"
"249","Yes"
"250","No"
"251","No"
"252","No"
"253","No"
"254","No"
"255","Yes"
"256","Yes"
"257","No"
"258","No"
"259","Yes"
"260","No"
"261","No"
"262","Yes"
"263","No"
"264","No"
"265","Yes"
"266","No"
"267","No"
"268","No"
"269","Yes"
"270","No"
"271","No"
"272","No"
"273","No"
"274","No"
"275","No"
"276","Yes"
"277","Yes"
"278","No"
"279","No"
"280","No"
"281","Yes"
"282","No"
"283","No"
"284","No"
"285","No"
"286","No"
"287","Yes"
"288","No"
"289","No"
"290","No"
"291","No"
"292","No"
"293","Yes"
"294","Yes"
"295","Yes"
"296","No"
"297","No"
"298","Yes"
"299","No"
"300","Yes"
"301","No"
"302","Yes"
"303","No"
"304","Yes"
"305","Yes"
"306","Yes"
"307","No"
"308","Yes"
"309","No"
"310","No"
"311","Yes"
"312","No"
"313","No"
"314","Yes"
"315","Yes"
"316","Yes"
"317","Yes"
"318","No"
"319","No"
"320","No"
"321","No"
"322","Yes"
"323","No"
"324","Yes"
"325","Yes"
"326","No"
"327","No"
"328","Yes"
"329","Yes"
"330","No"
"331","No"
"332","No"
"333","No"
"334","No"
"335","No"
"336","No"
"337","No"
"338","No"
"339","Yes"
"340","Yes"
"341","No"
"342","Yes"
"343","Yes"
"344","No"
"345","No"
"346","Yes"
"347","No"
"348","No"
"349","Yes"
"350","Yes"
"351","No"
"352","No"
"353","No"
"354","No"
"355","Yes"
"356","No"
"357","Yes"
"358","No"
"359","No"
"360","Yes"
"361","No"
"362","No"
"363","Yes"
"364","No"
"365","No"
"366","No"
"367","No"
"368","Yes"
"369","Yes"
"370","Yes"
"371","No"
"372","Yes"
"373","Yes"
"374","No"
"375","Yes"
"376","No"
"377","No"
"378","No"
"379","No"
"380","Yes"
"381","No"
"382","No"
"383","No"
"384","No"
"385","Yes"
"386","Yes"
"387","No"
"388","No"
"389","Yes"
"390","Yes"
"391","No"
"392","Yes"
"393","Yes"
"394","Yes"
"395","Yes"
"396","Yes"
"397","No"
"398","Yes"
"399","Yes"
"400","Yes"
"401","Yes"
"402","No"
"403","No"
"404","No"
"405","No"
"406","Yes"
"407","No"
"408","No"
"409","Yes"
"410","No"
"411","Yes"
"412","No"
"413","No"
"414","No"
"415","Yes"
"416","Yes"
"417","Yes"
"418","Yes"
"419","No"
"420","Yes"
"421","No"
"422","Yes"
"423","No"
"424","Yes"
"425","No"
"426","Yes"
"427","Yes"
"428","No"
"429","Yes"
"430","No"
"431","No"
"432","No"
"433","No"
"434","Yes"
"435","No"
"436","Yes"
"437","Yes"
"438","No"
"439","Yes"
"440","No"
"441","Yes"
"442","No"
"443","No"
"444","No"
"445","No"
"446","Yes"
"447","Yes"
"448","No"
"449","Yes"
"450","Yes"
"451","No"
"452","Yes"
"453","No"
"454","No"
"455","No"
"456","No"
"457","No"
"458","Yes"
"459","No"
"460","No"
"461","No"
"462","No"
"463","No"
"464","No"
"465","No"
"466","Yes"
"467","No"
"468","No"
"469","Yes"
"470","No"
"471","Yes"
"472","No"
"473","Yes"
"474","Yes"
"475","Yes"
"476","Yes"
"477","Yes"
"478","No"
"479","No"
"480","No"
"481","No"
"482","No"
"483","Yes"
"484","Yes"
"485","No"
"486","No"
"487","No"
"488","No"
"489","No"
"490","No"
"491","Yes"
"492","No"
"493","No"
"494","No"
"495","No"
"496","No"
"497","Yes"
"498","No"
"499","No"
"500","No"
"501","No"
"502","Yes"
"503","No"
"504","No"
"505","No"
"506","Yes"
"507","No"
"508","Yes"
"509","No"
"510","Yes"
"511","Yes"
"512","Yes"
"513","No"
"514","Yes"
"515","No"
"516","No"
"517","Yes"
"518","No"
"519","No"
"520","No"
"521","No"
"522","No"
"523","No"
"524","Yes"
"525","Yes"
"526","No"
"527","No"
"528","No"
"529","No"
"530","No"
"531","Yes"
"532","No"
"533","Yes"
"534","No"
"535","No"
"536","Yes"
"537","No"
"538","No"
"539","No"
"540","Yes"
"541","No"
"542","No"
"543","Yes"
"544","No"
"545","No"
"546","No"
"547","No"
"548","Yes"
"549","No"
"550","No"
"551","Yes"
"552","No"
"553","No"
"554","No"
"555","No"
"556","No"
"557","No"
"558","Yes"
"559","Yes"
"560","No"
"561","Yes"
"562","No"
"563","Yes"
"564","Yes"
"565","No"
"566","No"
"567","No"
"568","No"
"569","No"
"570","No"
"571","Yes"
"572","No"
"573","No"
"574","No"
"575","Yes"
"576","No"
"577","Yes"
"578","No"
"579","Yes"
"580","No"
"581","No"
"582","No"
"583","No"
"584","No"
"585","Yes"
"586","No"
"587","No"
"588","No"
"589","Yes"
"590","No"
"591","Yes"
"592","No"
"593","No"
"594","No"
"595","No"
"596","No"
"597","No"
"598","No"
